doc_id,true_label,predicted_label,raw_output,parse_method,parse_candidates,method,model,timestamp,prompt_tokens,output_tokens,total_duration_ms,load_duration_ms
hesa441_canadas_health_workforce_0022,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,800,10,1144.221795,247.156239
hesa441_childrens_health_0013,unlabeled,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,805,10,1176.362067,245.144416
hesa441_childrens_health_0031,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,829,10,1148.999392,241.655928
hesa441_childrens_health_0039,unlabeled,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,800,10,1041.244293,242.492049
hesa441_emergency_situation_facing_c_0009,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,790,10,1124.974188,254.901449
hesa441_emergency_situation_facing_c_0035,unlabeled,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,704,10,922.188269,251.085179
hesa441_emergency_situation_facing_c_0053,unlabeled,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,779,10,1060.269117,247.208581
hesa441_emergency_situation_facing_c_0066,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,774,10,976.759994,238.357177
hesa441_emergency_situation_facing_c_0090,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,789,10,985.09424,238.791669
hesa441_emergency_situation_facing_c_0105,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,779,10,1153.696913,241.312455
hesa441_emergency_situation_facing_c_0109,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,781,10,1005.840607,243.356553
hesa441_emergency_situation_facing_c_0119,unlabeled,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,757,10,1105.388106,251.201008
hesa441_emergency_situation_facing_c_0143,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,869,10,1122.87061,242.83432
hesa441_governments_advanced_purchas_0001,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,826,10,1086.166412,242.557759
hesa441_opioid_epidemic_and_toxic_dr_0009,indigenous_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,816,10,1011.07274,248.00167
hesa441_oversight_of_medical_devices_0003,pharmacare,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,804,10,1145.72245,244.847491
hesa441_oversight_of_medical_devices_0022,pharmacare,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,774,10,992.640204,249.045139
hesa441_treatment_and_prevention_of_0002,cancer,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,826,10,1153.188976,251.444982
hesa441_womens_health_0013,womens_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,862,10,1093.042127,242.90471
hesa441_womens_health_0026,womens_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,798,10,1059.018439,249.497685
hesa441_womens_health_0052,womens_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,817,10,1037.484135,236.309533
hesa441_womens_health_0060,womens_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,790,10,1136.531373,251.169717
hesa451_antimicrobial_resistance_0001,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,820,10,1160.775062,272.701434
hesa451_canadas_pharmaceutical_sover_0022,pharmacare,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,874,10,1113.746628,242.417952
hesa441_bill_c293_0003,public_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:05:55.343406+00:00,817,2048,64286.033511,732.552371
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:05:55.343406+00:00,801,2048,66140.771145,754.462503
hesa441_bill_c293_0003,public_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:27:00.921129+00:00,817,2048,62996.119947,644.995509
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:27:00.921129+00:00,801,2048,64364.700465,655.166493
hesa441_childrens_health_0022,childrens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:27:00.921129+00:00,818,2048,63968.95376,676.438535
hesa441_childrens_health_0055,pharmacare,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:27:00.921129+00:00,795,2048,66121.182695,664.114726
hesa441_childrens_health_0056,mental_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:27:00.921129+00:00,825,2048,82407.948801,18754.798508
hesa441_emergency_situation_facing_c_0033,other_none,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:27:00.921129+00:00,755,2048,65864.84398,705.21435
hesa441_bill_c293_0003,public_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:54:37.170741+00:00,817,2048,63318.095139,680.464605
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:54:37.170741+00:00,801,2048,64480.866805,691.159126
hesa441_childrens_health_0022,childrens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:54:37.170741+00:00,818,2048,63786.260578,679.951926
hesa441_childrens_health_0055,pharmacare,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:54:37.170741+00:00,795,2048,64356.196543,676.52193
hesa441_childrens_health_0056,mental_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:54:37.170741+00:00,825,2048,65067.719405,674.473654
hesa441_emergency_situation_facing_c_0033,other_none,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T19:54:37.170741+00:00,755,2048,64115.234565,717.902819
hesa441_bill_c293_0003,public_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:08:59.909852+00:00,817,2048,63564.227898,694.279818
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:08:59.909852+00:00,801,2048,64997.24021,687.815393
hesa441_childrens_health_0022,childrens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:08:59.909852+00:00,818,2048,64252.310294,672.112495
hesa441_childrens_health_0055,pharmacare,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:08:59.909852+00:00,795,2048,64908.221609,684.20494
hesa441_childrens_health_0056,mental_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:08:59.909852+00:00,825,2048,65836.024615,702.385215
hesa441_emergency_situation_facing_c_0033,other_none,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:08:59.909852+00:00,755,2048,64825.90859,694.602309
hesa441_bill_c293_0003,public_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:34:35.896834+00:00,817,2048,63160.134603,686.961208
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:34:35.896834+00:00,801,2048,64752.584249,661.938534
hesa441_childrens_health_0022,childrens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:34:35.896834+00:00,818,2048,64542.941406,669.420507
hesa441_childrens_health_0055,pharmacare,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:34:35.896834+00:00,795,2048,64263.529759,655.032785
hesa441_childrens_health_0056,mental_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:34:35.896834+00:00,825,2048,65368.507124,665.038702
hesa441_emergency_situation_facing_c_0033,other_none,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:34:35.896834+00:00,755,2048,64449.60607,672.352934
hesa441_bill_c293_0003,public_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:46:21.815725+00:00,817,2048,63408.970167,663.846877
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:46:21.815725+00:00,801,2048,64948.251502,669.321072
hesa441_childrens_health_0022,childrens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:46:21.815725+00:00,818,2048,64232.944644,676.318651
hesa441_childrens_health_0055,pharmacare,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:46:21.815725+00:00,795,2048,64689.922691,674.731534
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:53:49.984977+00:00,801,2048,64274.281348,701.704125
hesa441_childrens_health_0056,mental_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:53:49.984977+00:00,825,2048,65252.35368,686.168327
hesa441_emergency_situation_facing_c_0033,other_none,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T21:53:49.984977+00:00,755,2048,65055.062716,693.092039
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:03:27.669600+00:00,801,2048,64386.754213,704.498493
hesa441_childrens_health_0056,mental_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:03:27.669600+00:00,825,2048,65444.744261,694.732675
hesa441_emergency_situation_facing_c_0033,other_none,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:03:27.669600+00:00,755,2048,64726.902,696.071563
hesa441_oversight_of_medical_devices_0026,womens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:03:27.669600+00:00,810,2048,66425.718433,697.98116
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:14:35.198717+00:00,801,2048,63893.141493,667.02858
hesa441_childrens_health_0056,mental_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:14:35.198717+00:00,825,2048,65588.488392,659.122142
hesa441_emergency_situation_facing_c_0033,other_none,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:14:35.198717+00:00,755,2048,64937.551621,695.739924
hesa441_oversight_of_medical_devices_0026,womens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:14:35.198717+00:00,810,2048,64466.116915,693.099423
hesa441_oversight_of_medical_devices_0036,womens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:14:35.198717+00:00,796,2048,64810.748303,662.012161
hesa441_oversight_of_medical_devices_0037,womens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:14:35.198717+00:00,820,2048,66049.376684,674.730323
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:33:36.189327+00:00,801,2048,63922.815932,688.648577
hesa441_childrens_health_0056,mental_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:33:36.189327+00:00,825,2048,65462.603232,663.414928
hesa441_emergency_situation_facing_c_0033,other_none,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:33:36.189327+00:00,755,2048,64695.680215,679.36495
hesa441_oversight_of_medical_devices_0026,womens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:33:36.189327+00:00,810,2048,64582.56434,678.044395
hesa441_oversight_of_medical_devices_0036,womens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:33:36.189327+00:00,796,2048,64211.573426,666.226431
hesa441_oversight_of_medical_devices_0037,womens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:33:36.189327+00:00,820,2048,65398.65266,669.772344
hesa441_womens_health_0058,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T22:33:36.189327+00:00,820,2048,65971.065914,672.4467
hesa441_canadas_health_workforce_0009,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T23:07:19.465185+00:00,801,2048,63938.519186,659.889076
hesa441_childrens_health_0056,mental_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T23:07:19.465185+00:00,825,2048,65642.806654,688.282936
hesa441_emergency_situation_facing_c_0033,other_none,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T23:07:19.465185+00:00,755,2048,64800.818884,670.333478
hesa441_oversight_of_medical_devices_0026,womens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T23:07:19.465185+00:00,810,2048,64430.018173,658.840859
hesa441_oversight_of_medical_devices_0036,womens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T23:07:19.465185+00:00,796,2048,64658.539214,686.1545
hesa441_oversight_of_medical_devices_0037,womens_health,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T23:07:19.465185+00:00,820,2048,65347.955534,672.245363
hesa441_womens_health_0058,workforce,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T23:07:19.465185+00:00,820,2048,64920.9505,665.834888
hesa441_emergency_situation_facing_c_0029,other_none,,"vaccine_injured 
",failed,,baseline_zeroshot,gemma2:2b,2026-07-19T01:25:44.021351+00:00,794,6,771.179294,302.427983
hesa441_emergency_situation_facing_c_0029,other_none,,"vaccine_injured 
",failed,,baseline_zeroshot,gemma2:2b,2026-07-19T01:32:35.412223+00:00,794,6,419.90027,300.152894
hesa441_canadas_health_workforce_0019,other_none,,,failed,,baseline_zeroshot_nocodebook,gemma4:12b,2026-07-19T01:59:57.128239+00:00,438,2048,63819.125308,659.327915
hesa441_canadas_health_workforce_0019,other_none,,,failed,,baseline_zeroshot_nocodebook,gemma4:12b,2026-07-19T02:31:12.911788+00:00,438,2048,62636.307197,673.912839
hesa441_opioid_epidemic_and_toxic_dr_0031,public_health,,,failed,,baseline_zeroshot_nocodebook,gemma4:12b,2026-07-19T02:31:12.911788+00:00,465,2048,64342.528422,674.08534
hesa441_oversight_of_medical_devices_0007,other_none,,,failed,,baseline_zeroshot_nocodebook,gemma4:12b,2026-07-19T02:31:12.911788+00:00,443,2048,63480.064276,658.914824
hesa441_oversight_of_medical_devices_0040,womens_health,,,failed,,baseline_zeroshot_nocodebook,gemma4:12b,2026-07-19T02:31:12.911788+00:00,416,2048,63014.276558,658.943758
hesa441_womens_health_0009,mental_health,,,failed,,baseline_zeroshot_nocodebook,gemma4:12b,2026-07-19T02:31:12.911788+00:00,442,2048,63377.286147,678.988828
hesa441_womens_health_0025,cancer,,,failed,,baseline_zeroshot_nocodebook,gemma4:12b,2026-07-19T02:31:12.911788+00:00,429,2048,64181.535478,678.237514
hesa441_womens_health_0063,childrens_health,,,failed,,baseline_zeroshot_nocodebook,gemma4:12b,2026-07-19T02:31:12.911788+00:00,452,2048,63812.046102,663.340389
hesa451_canadas_pharmaceutical_sover_0019,pharmacare,,,failed,,baseline_zeroshot_nocodebook,gemma4:12b,2026-07-19T02:31:12.911788+00:00,447,2048,63328.919757,676.168681
